index,Label,date,open,high,low,close,volume
0,AAPL,12-12-1980,0.4164,0.4182,0.4164,0.4164,117258400
1,AAPL,15-12-1980,0.3966,0.3966,0.3947,0.3947,43971200
2,AAPL,16-12-1980,0.3675,0.3675,0.3657,0.3657,26432000
3,AAPL,17-12-1980,0.3747,0.3766,0.3747,0.3747,21610400
4,AAPL,18-12-1980,0.3857,0.3874,0.3857,0.3857,18362400
5,AAPL,19-12-1980,0.4092,0.4111,0.4092,0.4092,12157600
6,AAPL,22-12-1980,0.4292,0.4309,0.4292,0.4292,9340800
7,AAPL,23-12-1980,0.4473,0.449,0.4473,0.4473,11737600
8,AAPL,24-12-1980,0.4707,0.4726,0.4707,0.4707,12000800
9,AAPL,26-12-1980,0.5142,0.5159,0.5142,0.5142,13893600
10,AAPL,29-12-1980,0.5214,0.5233,0.5214,0.5214,23290400
11,AAPL,30-12-1980,0.5106,0.5106,0.5087,0.5087,17220000
12,AAPL,31-12-1980,0.4961,0.4961,0.4943,0.4943,8937600
13,AAPL,02-01-1981,0.4997,0.5033,0.4997,0.4997,5415200
14,AAPL,05-01-1981,0.4906,0.4906,0.4888,0.4888,8932000
15,AAPL,06-01-1981,0.4688,0.4688,0.4671,0.4671,11289600
16,AAPL,07-01-1981,0.449,0.449,0.4473,0.4473,13921600
17,AAPL,08-01-1981,0.4399,0.4399,0.4381,0.4381,9956800
18,AAPL,09-01-1981,0.4618,0.4635,0.4618,0.4618,5376000
19,AAPL,12-01-1981,0.4618,0.4618,0.458,0.458,5924800
20,AAPL,13-01-1981,0.4436,0.4436,0.4418,0.4418,5762400
21,AAPL,14-01-1981,0.4436,0.4454,0.4436,0.4436,3572800
22,AAPL,15-01-1981,0.4526,0.4562,0.4526,0.4526,3516800
23,AAPL,16-01-1981,0.4507,0.4507,0.449,0.449,3348800
24,AAPL,19-01-1981,0.4761,0.478,0.4761,0.4761,10393600
25,AAPL,20-01-1981,0.4635,0.4635,0.4618,0.4618,7520800
26,AAPL,21-01-1981,0.4707,0.4744,0.4707,0.4707,3976000
27,AAPL,22-01-1981,0.4761,0.4799,0.4761,0.4761,8887200
28,AAPL,23-01-1981,0.4761,0.478,0.4744,0.4744,2805600
29,AAPL,26-01-1981,0.4688,0.4688,0.4671,0.4671,6160000
30,AAPL,27-01-1981,0.4671,0.4671,0.4635,0.4635,5924800
31,AAPL,28-01-1981,0.4507,0.4507,0.449,0.449,7039200
32,AAPL,29-01-1981,0.4345,0.4345,0.4326,0.4326,10976000
